131821,It,10
131821,Jumanji,3
131821,Rise of the Guardians,2
131821,Taken 3,8
131821,The Incredibles,13
134382,Birdman,5
134382,Star Trek Beyond,3
134382,The Disaster Artist,9
134382,The Fate of the Furious,8
134382,The Tribes of Palos Verdes,9
134382,Toy Story,6
134382,Whiplash,6
135707,Blade Runner 2049,6
135707,Fifty Shades of Grey,9
135707,Home Alone 2: Lost in New York,6
135707,Kingsman: The Golden Circle,7
135707,Rescue Under Fire,6
135707,The Hangover Part III,3
135707,The Purge,7
138507,Coco,2
138507,Despicable Me 2,4
138507,Love Beats Rhymes,11
138507,The Ballad of Lefty Brown,6
138507,The Hobbit: An Unexpected Journey,5
138507,The Purge,6
142286,Attraction,4
142286,Beauty and the Beast,10
142286,It,6
142286,The Interview,10
142286,Toy Story,11
142286,Wonder Wheel,10
143480,Flatliners,2
143480,Interstellar,2
143480,It,4
143480,Mad Max: Fury Road,11
143480,The Dark Knight Rises,3
143480,The Disaster Artist,2
146109,Blade Runner 2049,8
146109,Cinderella,10
146109,Gone Girl,5
146109,Rescue Under Fire,6
146109,The Lion King,7
146109,Up,4
149059,47 Meters Down,6
149059,Bullet Head,8
149059,Doctor Strange,9
149059,Downsizing,6
149059,Whiplash,11
149544,Downsizing,1
149544,Fifty Shades of Grey,3
149544,Iron Man 2,3
149544,Spectre,6
149544,Zootopia,11
150224,Sin City: A Dame to Kill For,11
150224,Star Wars,3
150224,Transformers: The Last Knight,11
150224,Transformers: The Last Knight,10
150224,War for the Planet of the Apes,1
152432,Captain America: Civil War,8
152432,Kong: Skull Island,7
152432,Split,8
152432,Whiplash,8
152432,Your Name.,7
156028,Fantastic Beasts and Where to Find Them,4
156028,Happy Death Day,7
156028,Iron Man,2
156028,The Hunger Games: Mockingjay - Part 2,9
156028,Thor,3
157705,Clash of the Titans,2
157705,Pirates of the Caribbean: On Stranger Tides,6
157705,Psycho,3
157705,The Hunger Games: Mockingjay - Part 2,2
157705,The Incredible Hulk,11
158415,Gone Girl,10
158415,I Am Legend,5
158415,Murder on the Orient Express,2
158415,The Fate of the Furious,3
158415,Tomorrowland,5
161616,Spider-Man,4
161616,The Greatest Showman,4
161616,The Twilight Saga: Breaking Dawn - Part 1,3
164298,American Made,5
164298,The Twilight Saga: Breaking Dawn - Part 2,10
164298,Transformers: Age of Extinction,6
164678,Beauty and the Beast,10
164678,Django Unchained,10
164678,Whiplash,11
167343,Django Unchained,9
167343,Schindler's List,3
167343,Schindler's List,2
167343,Sicario,9
167343,The Judge,2
168898,Happy Death Day,4
168898,Kong: Skull Island,2
168898,The Avengers,2
168898,The Fate of the Furious,8
168898,The Twilight Saga: New Moon,4
168898,Twilight,9
168898,Your Name.,6
171449,Birdman,7
171449,Harry Potter and the Deathly Hallows: Part 2,6
171449,Spider-Man 3,10
171449,There Be Dragons,7
171449,Thor: Ragnarok,8
171449,Transformers: The Last Knight,2
174270,Furious 7,3
174270,Kong: Skull Island,6
174270,Spectre,2
174270,The Legend of Tarzan,9
174270,Whiplash,2
